WERKS,TXTMD,ODQ_CHANGEMODE,ODQ_ENTITYCNTR
UK01,DO NOT USE, ,0
UK11,DO NOT USE, ,0
UK25,DO NOT USE, ,0
4233,DO NOT USE, ,0
US01,DO NOT USE, ,0
US04,DO NOT USE, ,0
US07,DO NOT USE, ,0
US20,DO NOT USE, ,0
US06,DO NOT USE, ,0
US08,DO NOT USE, ,0
US05,DO NOT USE, ,0
US21,DO NOT USE, ,0
NL01,DO NOT USE, ,0
NL11,DO NOT USE, ,0
NL25,DO NOT USE, ,0
KR74,DO NOT USE, ,0
CN36,DO NOT USE, ,0
0001,DO NOT USE, ,0
1720,DO NOT USE, ,0
1011,DO NOT USE, ,0
KR25,DO NOT USE, ,0
4020,ENTEGRIS  GMBH, ,0
JPC1,ENTEGRIS INC TNSC, ,0
JP25,NIHON ENTEGRIS G.K., ,0
4160,NIHON ENTEGRIS G.K., ,0
4175,Non-SAPPM Locations, ,0
4232,(ANOW) HANGZHOU ANOW, ,0
US47,ENTEGRIS INC  DALLAS, ,0
4145,ENTEGRIS IRELAND ULC, ,0
CN31,(AINUO) HANGZHOU ANOW, ,0
1940,ENTEGRIS INC - AMBLER, ,0
1750,ENTEGRIS INC - GP SLO, ,0
1960,ENTEGRIS INC - SCOTIA, ,0
1930,ENTEGRIS INC - CHESTER, ,0
1926,ENTEGRIS INC - FREMONT, ,0
US51,ENTEGRIS INC SALT LAKE, ,0
CN37,ADV TECH MATL-CHINA CXN, ,0
1880,ENTEGRIS INC - CHANDLER, ,0
1700,ENTEGRIS INC - BILLERICA, ,0
1850,ENTEGRIS INC - GOLETA CA, ,0
1500,ENTEGRIS INC - MINNESOTA, ,0
US45,ENTEGRIS INC ALBUQUERQUE, ,0
US48,ENTEGRIS INC MARLBOROUGH, ,0
KR78,HANGUK ENTEGRIS CO. LTD., ,0
KR79,HANGUK ENTEGRIS CO. LTD., ,0
KR80,HANGUK ENTEGRIS CO. LTD., ,0
1950,ENTEGRIS INC - RIEGELWOOD, ,0
US50,ENTEGRIS INC – SAVANNAH, ,0
CN35,ATMI INT'L TRADING CO. LTD, ,0
T100,ENTEGRIS - TOOLING CC 1000, ,0
T200,ENTEGRIS - TOOLING CC 4050, ,0
T300,ENTEGRIS - TOOLING CC 4165, ,0
2090,ENTEGRIS INC - ESC BEDFORD, ,0
1860,ENTEGRIS INC - PORT RICHEY, ,0
US46,ENTEGRIS INC COLO. SPRINGS, ,0
SG25,ENTEGRIS SINGAPORE PTE LTD, ,0
4190,ENTEGRIS SINGAPORE PTE LTD, ,0
4199,ENTEGRIS ASIA PTE. LTD. HUB, ,0
4194,ENTEGRIS ASIA PTE. LTD. HUB, ,0
4010,ENTEGRIS GMBH-INDIRECT ONLY, ,0
4165,ENTEGRIS JAPAN YONEZAWA MFG, ,0
TW10,"ENTEGRIS ASIA LLC, TW BRANCH", ,0
TW11,"ENTEGRIS ASIA LLC, TW BRANCH", ,0
TWV1,DO NOT USE - only for BW load, ,0
1600,ENTEGRIS INC - COLORADO SPRGS, ,0
1680,ENTEGRIS INC - COLORADO SPRGS, ,0
